Instance,Time(s),Upper Bound,Status
N3C2W4_M.BPP,0.164324,120,Optimal
N3C2W4_N.BPP,0.2047,117,Optimal
N3C2W4_O.BPP,0.372039,113,Optimal
N3C2W4_P.BPP,0.307838,122,Optimal
N3C2W4_Q.BPP,0.267253,118,Optimal
N3C2W4_R.BPP,0.178157,123,Optimal
N3C2W4_S.BPP,0.395744,118,Optimal
N3C2W4_T.BPP,0.454999,119,Optimal
N3C3W1_A.BPP,12.7569,66,Optimal
N3C3W1_B.BPP,4.74727,71,Optimal
N3C3W1_C.BPP,7.75846,69,Optimal
N3C3W1_D.BPP,7.09235,63,Optimal
N3C3W1_E.BPP,6.25846,68,Optimal
N3C3W1_F.BPP,5.75614,69,Optimal
N3C3W1_G.BPP,7.53483,65,Optimal
N3C3W1_H.BPP,7.0518,69,Optimal
N3C3W1_I.BPP,6.21502,68,Optimal
N3C3W1_J.BPP,7.70771,65,Optimal
N3C3W1_K.BPP,9.97031,63,Optimal
N3C3W1_L.BPP,6.68685,68,Optimal
N3C3W1_M.BPP,4.72285,71,Optimal
N3C3W1_N.BPP,6.95237,69,Optimal
N3C3W1_O.BPP,7.73719,66,Optimal
N3C3W1_P.BPP,7.78031,72,Optimal
N3C3W1_Q.BPP,10.3947,73,Optimal
N3C3W1_R.BPP,6.39368,66,Optimal
N3C3W1_S.BPP,9.36342,68,Optimal
N3C3W1_T.BPP,6.29933,70,Optimal
N3C3W2_A.BPP,1.85259,84,Optimal
N3C3W2_B.BPP,1.54464,81,Optimal
N3C3W2_C.BPP,2.21733,82,Optimal
N3C3W2_D.BPP,2.40068,79,Optimal
N3C3W2_E.BPP,2.3297,79,Optimal
N3C3W2_F.BPP,1.65704,81,Optimal
N3C3W2_G.BPP,5.2258,81,Optimal
N3C3W2_H.BPP,2.21352,82,Optimal
N3C3W2_I.BPP,2.12179,79,Optimal
N3C3W2_J.BPP,5.89879,83,Optimal
N3C3W2_K.BPP,1.92636,83,Optimal
N3C3W2_L.BPP,1.90169,82,Optimal
N3C3W2_M.BPP,10.2482,83,Optimal
N3C3W2_N.BPP,2.62632,77,Optimal
N3C3W2_O.BPP,2.00982,82,Optimal
N3C3W2_P.BPP,2.1331,80,Optimal
N3C3W2_Q.BPP,2.47233,76,Optimal
N3C3W2_R.BPP,2.14379,79,Optimal
N3C3W2_S.BPP,3.1982,80,Optimal
N3C3W2_T.BPP,2.34269,79,Optimal
N3C3W4_A.BPP,0.930555,89,Optimal
N3C3W4_B.BPP,1.31061,88,Optimal
N3C3W4_C.BPP,0.762889,88,Optimal
N3C3W4_D.BPP,1.26413,87,Optimal
N3C3W4_E.BPP,1.12146,85,Optimal
N3C3W4_F.BPP,1.50086,84,Optimal
N3C3W4_G.BPP,1.55535,94,Optimal
N3C3W4_H.BPP,9.07646,84,Optimal
N3C3W4_I.BPP,1.17072,92,Optimal
N3C3W4_J.BPP,1.29851,88,Optimal
N3C3W4_K.BPP,1.25041,89,Optimal
N3C3W4_L.BPP,1.03802,90,Optimal
N3C3W4_M.BPP,1.20206,88,Optimal
N3C3W4_N.BPP,1.10262,87,Optimal
N3C3W4_O.BPP,1.30552,87,Optimal
N3C3W4_P.BPP,1.18641,86,Optimal
N3C3W4_Q.BPP,0.846002,87,Optimal
N3C3W4_R.BPP,1.47505,87,Optimal
N3C3W4_S.BPP,1.46971,84,Optimal
N3C3W4_T.BPP,1.37688,85,Optimal
N4C1W1_A.BPP,30.1302,240,Optimal
N4C1W1_B.BPP,18.6501,262,Optimal
N4C1W1_C.BPP,32.7489,241,Optimal
N4C1W1_D.BPP,30.1547,246,Optimal
N4C1W1_E.BPP,23.1832,272,Optimal
N4C1W1_F.BPP,17.4669,265,Optimal
